trial,model,successful_valid_response,first_try_valid,retries_needed,attempts_used,total_hallucinations_seen_across_attempts,first_attempt_hallucinations,final_hallucinations,token_limit_exceeded,final_duplicate_count
1,apple_system_language_model,0,0,0,1,0,0,0,1,0
1,gemma_2_2b_it_4bit,0,0,5,6,112,19,20,0,0
1,llama_3_2_1b_instruct_4bit,0,0,5,6,65,6,12,0,1
2,apple_system_language_model,0,0,0,1,0,0,0,1,0
2,gemma_2_2b_it_4bit,0,0,5,6,115,20,18,0,0
2,llama_3_2_1b_instruct_4bit,0,0,5,6,92,11,15,0,1
3,apple_system_language_model,0,0,0,1,0,0,0,1,0
3,gemma_2_2b_it_4bit,0,0,5,6,128,17,20,0,0
3,llama_3_2_1b_instruct_4bit,0,0,5,6,273,56,39,0,0
4,apple_system_language_model,0,0,5,6,6,1,1,0,0
4,gemma_2_2b_it_4bit,0,0,5,6,132,42,18,0,0
4,llama_3_2_1b_instruct_4bit,0,0,5,6,267,24,27,0,78
5,apple_system_language_model,0,0,5,6,21,3,4,0,0
5,gemma_2_2b_it_4bit,0,0,5,6,62,23,0,0,0
5,llama_3_2_1b_instruct_4bit,0,0,5,6,72,0,7,0,0
6,apple_system_language_model,0,0,0,1,0,0,0,1,0
6,gemma_2_2b_it_4bit,0,0,5,6,129,24,21,0,0
6,llama_3_2_1b_instruct_4bit,0,0,5,6,295,58,9,0,0
7,apple_system_language_model,0,0,5,6,12,2,2,0,0
7,gemma_2_2b_it_4bit,0,0,5,6,100,16,15,0,0
7,llama_3_2_1b_instruct_4bit,0,0,5,6,90,20,9,0,0
8,apple_system_language_model,0,0,0,1,0,0,0,1,0
8,gemma_2_2b_it_4bit,0,0,5,6,134,34,20,0,0
8,llama_3_2_1b_instruct_4bit,0,0,5,6,306,272,0,0,0
9,apple_system_language_model,0,0,0,1,0,0,0,1,0
9,gemma_2_2b_it_4bit,0,0,5,6,108,8,20,0,0
9,llama_3_2_1b_instruct_4bit,0,0,5,6,338,57,55,0,0
10,apple_system_language_model,0,0,0,1,0,0,0,1,0
10,gemma_2_2b_it_4bit,0,0,5,6,100,3,20,0,0
10,llama_3_2_1b_instruct_4bit,0,0,5,6,126,28,17,0,0
11,apple_system_language_model,0,0,0,1,0,0,0,1,0
11,gemma_2_2b_it_4bit,0,0,5,6,109,13,19,0,0
11,llama_3_2_1b_instruct_4bit,0,0,5,6,336,58,26,0,1
12,apple_system_language_model,0,0,0,1,0,0,0,1,0
12,gemma_2_2b_it_4bit,0,0,5,6,115,15,20,0,0
12,llama_3_2_1b_instruct_4bit,0,0,5,6,117,24,18,0,2
13,apple_system_language_model,0,0,0,1,0,0,0,1,0
13,gemma_2_2b_it_4bit,0,0,5,6,128,33,19,0,0
13,llama_3_2_1b_instruct_4bit,0,0,5,6,64,2,4,0,0
14,apple_system_language_model,0,0,5,6,12,2,2,0,0
14,gemma_2_2b_it_4bit,0,0,5,6,74,25,0,0,0
14,llama_3_2_1b_instruct_4bit,0,0,5,6,391,6,0,0,0
15,apple_system_language_model,0,0,5,6,6,1,1,0,0
15,gemma_2_2b_it_4bit,0,0,5,6,182,77,21,0,0
15,llama_3_2_1b_instruct_4bit,0,0,5,6,36,1,0,0,0
16,apple_system_language_model,0,0,5,6,12,2,2,0,0
16,gemma_2_2b_it_4bit,0,0,5,6,125,15,21,0,0
16,llama_3_2_1b_instruct_4bit,0,0,5,6,132,25,11,0,0
17,apple_system_language_model,0,0,0,1,0,0,0,1,0
17,gemma_2_2b_it_4bit,0,0,5,6,119,28,18,0,0
17,llama_3_2_1b_instruct_4bit,0,0,5,6,163,43,16,0,0
18,apple_system_language_model,0,0,0,1,0,0,0,1,0
18,gemma_2_2b_it_4bit,0,0,5,6,92,11,0,0,0
18,llama_3_2_1b_instruct_4bit,0,0,5,6,70,0,17,0,0
19,apple_system_language_model,0,0,5,6,6,1,1,0,0
19,gemma_2_2b_it_4bit,0,0,5,6,119,19,20,0,0
19,llama_3_2_1b_instruct_4bit,0,0,5,6,342,59,54,0,0
20,apple_system_language_model,0,0,0,1,0,0,0,1,0
20,gemma_2_2b_it_4bit,0,0,5,6,126,21,21,0,0
20,llama_3_2_1b_instruct_4bit,0,0,5,6,322,41,59,0,1
21,apple_system_language_model,0,0,0,1,0,0,0,1,0
21,gemma_2_2b_it_4bit,0,0,5,6,135,43,18,0,0
21,llama_3_2_1b_instruct_4bit,0,0,5,6,86,15,3,0,0
22,apple_system_language_model,0,0,0,1,0,0,0,1,0
22,gemma_2_2b_it_4bit,0,0,5,6,130,38,0,0,0
22,llama_3_2_1b_instruct_4bit,0,0,5,6,84,24,5,0,0
23,apple_system_language_model,0,0,0,1,0,0,0,1,0
23,gemma_2_2b_it_4bit,0,0,5,6,116,27,17,0,0
23,llama_3_2_1b_instruct_4bit,0,0,5,6,366,69,30,0,0
24,apple_system_language_model,0,0,1,2,1,1,0,1,0
24,gemma_2_2b_it_4bit,0,0,5,6,55,20,7,0,0
24,llama_3_2_1b_instruct_4bit,0,0,5,6,172,30,28,0,0
25,apple_system_language_model,0,0,1,2,1,1,0,1,0
25,gemma_2_2b_it_4bit,0,0,5,6,98,23,0,0,0
25,llama_3_2_1b_instruct_4bit,0,0,5,6,104,46,7,0,0
26,apple_system_language_model,0,0,5,6,6,1,1,0,0
26,gemma_2_2b_it_4bit,0,0,5,6,95,15,0,0,0
26,llama_3_2_1b_instruct_4bit,0,0,5,6,129,32,10,0,0
27,apple_system_language_model,0,0,0,1,0,0,0,1,0
27,gemma_2_2b_it_4bit,0,0,5,6,122,42,16,0,0
27,llama_3_2_1b_instruct_4bit,0,0,5,6,37,5,4,0,0
28,apple_system_language_model,0,0,5,6,18,3,3,0,0
28,gemma_2_2b_it_4bit,0,0,5,6,57,22,0,0,0
28,llama_3_2_1b_instruct_4bit,0,0,5,6,151,6,10,0,0
29,apple_system_language_model,0,0,5,6,6,1,1,0,0
29,gemma_2_2b_it_4bit,0,0,5,6,80,0,16,0,0
29,llama_3_2_1b_instruct_4bit,0,0,5,6,764,764,0,0,0
30,apple_system_language_model,0,0,5,6,0,0,0,0,0
30,gemma_2_2b_it_4bit,0,0,5,6,135,35,20,0,0
30,llama_3_2_1b_instruct_4bit,0,0,5,6,252,53,14,0,0
31,apple_system_language_model,0,0,0,1,0,0,0,1,0
31,gemma_2_2b_it_4bit,0,0,5,6,131,28,19,0,0
31,llama_3_2_1b_instruct_4bit,0,0,5,6,95,7,8,0,0
32,apple_system_language_model,0,0,5,6,14,3,2,0,0
32,gemma_2_2b_it_4bit,0,0,5,6,83,37,0,0,0
32,llama_3_2_1b_instruct_4bit,0,0,5,6,425,76,0,0,0
33,apple_system_language_model,0,0,5,6,6,1,1,0,0
33,gemma_2_2b_it_4bit,0,0,5,6,138,37,19,0,0
33,llama_3_2_1b_instruct_4bit,0,0,5,6,95,28,22,0,0
34,apple_system_language_model,0,0,0,1,0,0,0,1,0
34,gemma_2_2b_it_4bit,0,0,5,6,130,29,20,0,0
34,llama_3_2_1b_instruct_4bit,0,0,5,6,185,43,17,0,0
35,apple_system_language_model,0,0,0,1,0,0,0,1,0
35,gemma_2_2b_it_4bit,0,0,5,6,83,8,15,0,0
35,llama_3_2_1b_instruct_4bit,0,0,5,6,107,31,10,0,1
36,apple_system_language_model,0,0,0,1,0,0,0,1,0
36,gemma_2_2b_it_4bit,0,0,5,6,106,34,0,0,0
36,llama_3_2_1b_instruct_4bit,0,0,5,6,134,32,8,0,1
37,apple_system_language_model,0,0,0,1,0,0,0,1,0
37,gemma_2_2b_it_4bit,0,0,5,6,55,13,21,0,0
37,llama_3_2_1b_instruct_4bit,0,0,5,6,300,43,60,0,4
38,apple_system_language_model,0,0,5,6,7,2,1,0,0
38,gemma_2_2b_it_4bit,0,0,5,6,150,50,20,0,0
38,llama_3_2_1b_instruct_4bit,0,0,5,6,190,31,33,0,170
39,apple_system_language_model,0,0,5,6,6,1,1,0,0
39,gemma_2_2b_it_4bit,0,0,5,6,68,49,0,0,0
39,llama_3_2_1b_instruct_4bit,0,0,5,6,50,2,3,0,0
40,apple_system_language_model,0,0,5,6,0,0,0,0,0
40,gemma_2_2b_it_4bit,0,0,5,6,114,14,20,0,0
40,llama_3_2_1b_instruct_4bit,0,0,5,6,101,2,19,0,1
41,apple_system_language_model,0,0,5,6,12,2,2,0,0
41,gemma_2_2b_it_4bit,0,0,5,6,150,70,0,0,0
41,llama_3_2_1b_instruct_4bit,0,0,5,6,50,2,11,0,0
42,apple_system_language_model,0,0,0,1,0,0,0,1,0
42,gemma_2_2b_it_4bit,0,0,5,6,112,22,18,0,0
42,llama_3_2_1b_instruct_4bit,0,0,5,6,129,27,4,0,0
43,apple_system_language_model,0,0,0,1,0,0,0,1,0
43,gemma_2_2b_it_4bit,0,0,5,6,106,10,19,0,0
43,llama_3_2_1b_instruct_4bit,0,0,5,6,221,65,5,0,0
44,apple_system_language_model,0,0,5,6,9,4,1,0,0
44,gemma_2_2b_it_4bit,0,0,5,6,109,15,19,0,0
44,llama_3_2_1b_instruct_4bit,0,0,5,6,77,13,10,0,0
45,apple_system_language_model,0,0,0,1,0,0,0,1,0
45,gemma_2_2b_it_4bit,0,0,5,6,120,27,18,0,0
45,llama_3_2_1b_instruct_4bit,0,0,5,6,206,33,19,0,0
46,apple_system_language_model,0,0,0,1,0,0,0,1,0
46,gemma_2_2b_it_4bit,0,0,5,6,106,6,20,0,0
46,llama_3_2_1b_instruct_4bit,0,0,5,6,63,0,12,0,0
47,apple_system_language_model,0,0,0,1,0,0,0,1,0
47,gemma_2_2b_it_4bit,0,0,5,6,123,13,22,0,1
47,llama_3_2_1b_instruct_4bit,0,0,5,6,233,33,10,0,0
48,apple_system_language_model,0,0,0,1,0,0,0,1,0
48,gemma_2_2b_it_4bit,0,0,5,6,111,15,19,0,0
48,llama_3_2_1b_instruct_4bit,0,0,5,6,151,28,14,0,0
49,apple_system_language_model,0,0,0,1,0,0,0,1,0
49,gemma_2_2b_it_4bit,0,0,5,6,59,18,0,0,0
49,llama_3_2_1b_instruct_4bit,0,0,5,6,373,63,62,0,0
50,apple_system_language_model,0,0,0,1,0,0,0,1,0
50,gemma_2_2b_it_4bit,0,0,5,6,125,25,20,0,0
50,llama_3_2_1b_instruct_4bit,0,0,5,6,47,4,0,0,0
51,apple_system_language_model,0,0,5,6,0,0,0,0,0
51,gemma_2_2b_it_4bit,0,0,5,6,146,54,18,0,1
51,llama_3_2_1b_instruct_4bit,0,0,5,6,20,4,0,0,0
52,apple_system_language_model,0,0,5,6,15,2,3,0,0
52,gemma_2_2b_it_4bit,0,0,5,6,119,32,18,0,0
52,llama_3_2_1b_instruct_4bit,0,0,5,6,234,57,31,0,0
53,apple_system_language_model,1,1,0,1,0,0,0,0,0
53,gemma_2_2b_it_4bit,0,0,5,6,116,13,20,0,0
53,llama_3_2_1b_instruct_4bit,0,0,5,6,85,2,16,0,0
54,apple_system_language_model,0,0,0,1,0,0,0,1,0
54,gemma_2_2b_it_4bit,0,0,5,6,90,18,17,0,1
54,llama_3_2_1b_instruct_4bit,0,0,5,6,184,184,0,0,0
55,apple_system_language_model,0,0,5,6,8,3,1,0,0
55,gemma_2_2b_it_4bit,0,0,5,6,91,11,16,0,0
55,llama_3_2_1b_instruct_4bit,0,0,5,6,326,57,52,0,0
56,apple_system_language_model,0,0,5,6,6,1,1,0,0
56,gemma_2_2b_it_4bit,0,0,5,6,125,25,20,0,0
56,llama_3_2_1b_instruct_4bit,0,0,5,6,150,29,25,0,7
57,apple_system_language_model,0,0,0,1,0,0,0,1,0
57,gemma_2_2b_it_4bit,0,0,5,6,131,30,20,0,0
57,llama_3_2_1b_instruct_4bit,0,0,5,6,96,26,4,0,5
58,apple_system_language_model,0,0,5,6,6,1,1,0,0
58,gemma_2_2b_it_4bit,0,0,5,6,101,6,19,0,0
58,llama_3_2_1b_instruct_4bit,0,0,5,6,548,84,0,0,0
59,apple_system_language_model,0,0,0,1,0,0,0,1,0
59,gemma_2_2b_it_4bit,0,0,5,6,128,29,19,0,0
59,llama_3_2_1b_instruct_4bit,0,0,5,6,77,0,14,0,0
60,apple_system_language_model,0,0,0,1,0,0,0,1,0
60,gemma_2_2b_it_4bit,0,0,5,6,130,27,20,0,0
60,llama_3_2_1b_instruct_4bit,0,0,5,6,39,2,0,0,0
61,apple_system_language_model,0,0,0,1,0,0,0,1,0
61,gemma_2_2b_it_4bit,0,0,5,6,68,40,2,0,0
61,llama_3_2_1b_instruct_4bit,0,0,5,6,85,11,13,0,0
62,apple_system_language_model,0,0,0,1,0,0,0,1,0
62,gemma_2_2b_it_4bit,0,0,5,6,141,41,20,0,0
62,llama_3_2_1b_instruct_4bit,0,0,5,6,98,18,12,0,0
63,apple_system_language_model,0,0,5,6,6,1,1,0,0
63,gemma_2_2b_it_4bit,0,0,5,6,119,14,20,0,0
63,llama_3_2_1b_instruct_4bit,0,0,5,6,375,63,63,0,0
64,apple_system_language_model,0,0,5,6,7,2,1,0,0
64,gemma_2_2b_it_4bit,0,0,5,6,118,19,20,0,0
64,llama_3_2_1b_instruct_4bit,0,0,5,6,308,53,51,0,0
65,apple_system_language_model,0,0,5,6,6,1,1,0,1
65,gemma_2_2b_it_4bit,0,0,5,6,144,44,20,0,0
65,llama_3_2_1b_instruct_4bit,0,0,5,6,340,58,57,0,0
66,apple_system_language_model,0,0,5,6,6,1,1,0,0
66,gemma_2_2b_it_4bit,0,0,5,6,116,16,19,0,0
66,llama_3_2_1b_instruct_4bit,0,0,5,6,195,32,16,0,0
67,apple_system_language_model,0,0,0,1,0,0,0,1,0
67,gemma_2_2b_it_4bit,0,0,5,6,153,55,20,0,0
67,llama_3_2_1b_instruct_4bit,0,0,5,6,431,82,69,0,0
68,apple_system_language_model,0,0,5,6,0,0,0,0,0
68,gemma_2_2b_it_4bit,0,0,5,6,131,36,19,0,0
68,llama_3_2_1b_instruct_4bit,0,0,5,6,29,19,3,0,1
69,apple_system_language_model,0,0,5,6,7,2,1,0,0
69,gemma_2_2b_it_4bit,0,0,5,6,111,21,18,0,0
69,llama_3_2_1b_instruct_4bit,0,0,5,6,35,35,0,0,0
70,apple_system_language_model,0,0,0,1,0,0,0,1,0
70,gemma_2_2b_it_4bit,0,0,5,6,126,26,20,0,0
70,llama_3_2_1b_instruct_4bit,0,0,5,6,44,5,4,0,0
71,apple_system_language_model,1,1,0,1,0,0,0,0,0
71,gemma_2_2b_it_4bit,0,0,5,6,95,15,0,0,0
71,llama_3_2_1b_instruct_4bit,0,0,5,6,155,38,23,0,0
72,apple_system_language_model,0,0,1,2,3,3,0,1,0
72,gemma_2_2b_it_4bit,0,0,5,6,109,33,0,0,0
72,llama_3_2_1b_instruct_4bit,0,0,5,6,38,1,1,0,0
73,apple_system_language_model,1,0,1,2,4,4,0,0,0
73,gemma_2_2b_it_4bit,0,0,5,6,145,61,0,0,0
73,llama_3_2_1b_instruct_4bit,0,0,5,6,41,1,3,0,0
74,apple_system_language_model,0,0,0,1,0,0,0,1,0
74,gemma_2_2b_it_4bit,0,0,5,6,123,32,18,0,0
74,llama_3_2_1b_instruct_4bit,0,0,5,6,115,29,10,0,0
75,apple_system_language_model,1,0,1,2,2,2,0,0,0
75,gemma_2_2b_it_4bit,0,0,5,6,131,45,3,0,0
75,llama_3_2_1b_instruct_4bit,0,0,5,6,51,11,0,0,0
76,apple_system_language_model,1,1,0,1,0,0,0,0,0
76,gemma_2_2b_it_4bit,0,0,5,6,26,22,0,0,0
76,llama_3_2_1b_instruct_4bit,0,0,5,6,74,1,4,0,0
77,apple_system_language_model,0,0,0,1,0,0,0,1,0
77,gemma_2_2b_it_4bit,0,0,5,6,149,69,0,0,0
77,llama_3_2_1b_instruct_4bit,0,0,5,6,43,0,5,0,0
78,apple_system_language_model,0,0,5,6,6,1,1,0,0
78,gemma_2_2b_it_4bit,0,0,5,6,123,24,19,0,0
78,llama_3_2_1b_instruct_4bit,0,0,5,6,28,0,0,0,0
79,apple_system_language_model,0,0,0,1,0,0,0,1,0
79,gemma_2_2b_it_4bit,0,0,5,6,120,23,23,0,0
79,llama_3_2_1b_instruct_4bit,0,0,5,6,66,6,4,0,0
80,apple_system_language_model,0,0,4,5,16,4,0,1,0
80,gemma_2_2b_it_4bit,0,0,5,6,111,13,20,0,0
80,llama_3_2_1b_instruct_4bit,0,0,5,6,426,73,69,0,0
81,apple_system_language_model,0,0,0,1,0,0,0,1,0
81,gemma_2_2b_it_4bit,0,0,5,6,127,28,19,0,0
81,llama_3_2_1b_instruct_4bit,0,0,5,6,282,50,41,0,0
82,apple_system_language_model,0,0,5,6,6,1,1,0,0
82,gemma_2_2b_it_4bit,0,0,5,6,121,21,20,0,0
82,llama_3_2_1b_instruct_4bit,0,0,5,6,155,9,16,0,0
83,apple_system_language_model,0,0,5,6,6,1,1,0,0
83,gemma_2_2b_it_4bit,0,0,5,6,113,14,20,0,0
83,llama_3_2_1b_instruct_4bit,0,0,5,6,9,6,0,0,0
84,apple_system_language_model,0,0,5,6,12,2,2,0,0
84,gemma_2_2b_it_4bit,0,0,5,6,117,26,18,0,0
84,llama_3_2_1b_instruct_4bit,0,0,5,6,373,63,62,0,0
85,apple_system_language_model,0,0,0,1,0,0,0,1,0
85,gemma_2_2b_it_4bit,0,0,5,6,128,37,18,0,0
85,llama_3_2_1b_instruct_4bit,0,0,5,6,204,34,23,0,0
86,apple_system_language_model,1,0,1,2,1,1,0,0,0
86,gemma_2_2b_it_4bit,0,0,5,6,119,41,5,0,0
86,llama_3_2_1b_instruct_4bit,0,0,5,6,68,0,1,0,3
87,apple_system_language_model,0,0,0,1,0,0,0,1,0
87,gemma_2_2b_it_4bit,0,0,5,6,131,40,18,0,0
87,llama_3_2_1b_instruct_4bit,0,0,5,6,355,60,59,0,0
88,apple_system_language_model,0,0,0,1,0,0,0,1,0
88,gemma_2_2b_it_4bit,0,0,5,6,116,23,19,0,0
88,llama_3_2_1b_instruct_4bit,0,0,5,6,14,2,2,0,0
89,apple_system_language_model,0,0,0,1,0,0,0,1,0
89,gemma_2_2b_it_4bit,0,0,5,6,126,26,20,0,0
89,llama_3_2_1b_instruct_4bit,0,0,5,6,150,30,12,0,0
90,apple_system_language_model,0,0,0,1,0,0,0,1,0
90,gemma_2_2b_it_4bit,0,0,5,6,113,13,20,0,0
90,llama_3_2_1b_instruct_4bit,0,0,5,6,1153,27,0,0,0
91,apple_system_language_model,1,0,2,3,3,1,0,0,0
91,gemma_2_2b_it_4bit,0,0,5,6,86,29,0,0,0
91,llama_3_2_1b_instruct_4bit,0,0,5,6,180,26,14,0,2
92,apple_system_language_model,0,0,5,6,24,4,4,0,0
92,gemma_2_2b_it_4bit,0,0,5,6,72,0,15,0,0
92,llama_3_2_1b_instruct_4bit,0,0,5,6,193,0,9,0,0
93,apple_system_language_model,0,0,0,1,0,0,0,1,0
93,gemma_2_2b_it_4bit,0,0,5,6,131,33,19,0,0
93,llama_3_2_1b_instruct_4bit,0,0,5,6,209,1,41,0,0
94,apple_system_language_model,0,0,0,1,0,0,0,1,0
94,gemma_2_2b_it_4bit,0,0,5,6,136,38,19,0,0
94,llama_3_2_1b_instruct_4bit,0,0,5,6,325,102,0,0,0
95,apple_system_language_model,0,0,0,1,0,0,0,1,0
95,gemma_2_2b_it_4bit,0,0,5,6,118,18,20,0,0
95,llama_3_2_1b_instruct_4bit,0,0,5,6,83,30,7,0,0
96,apple_system_language_model,0,0,5,6,6,1,1,0,0
96,gemma_2_2b_it_4bit,0,0,5,6,115,12,21,0,0
96,llama_3_2_1b_instruct_4bit,0,0,5,6,77,63,0,0,0
97,apple_system_language_model,0,0,0,1,0,0,0,1,0
97,gemma_2_2b_it_4bit,0,0,5,6,131,21,26,0,0
97,llama_3_2_1b_instruct_4bit,0,0,5,6,23,15,0,0,0
98,apple_system_language_model,0,0,0,1,0,0,0,1,0
98,gemma_2_2b_it_4bit,0,0,5,6,116,16,20,0,0
98,llama_3_2_1b_instruct_4bit,0,0,5,6,45,0,4,0,0
99,apple_system_language_model,0,0,5,6,7,2,1,0,0
99,gemma_2_2b_it_4bit,0,0,5,6,78,10,14,0,0
99,llama_3_2_1b_instruct_4bit,0,0,5,6,304,51,50,0,0
100,apple_system_language_model,1,0,1,2,1,1,0,0,0
100,gemma_2_2b_it_4bit,0,0,5,6,155,55,20,0,0
100,llama_3_2_1b_instruct_4bit,0,0,5,6,208,40,24,0,1
